sample population group sex
HG00097 GBR GBR NA
HG00100 GBR GBR NA
HG00101 GBR GBR NA
HG00105 GBR GBR NA
HG00106 GBR GBR NA
HG00109 GBR GBR NA
HG00111 GBR GBR NA
HG00112 GBR GBR NA
HG00113 GBR GBR NA
HG00116 GBR GBR NA
HG00117 GBR GBR NA
HG00118 GBR GBR NA
HG00120 GBR GBR NA
HG00123 GBR GBR NA
HG00125 GBR GBR NA
HG00128 GBR GBR NA
HG00129 GBR GBR NA
HG00130 GBR GBR NA
HG00131 GBR GBR NA
HG00132 GBR GBR NA
HG00136 GBR GBR NA
HG00137 GBR GBR NA
HG00142 GBR GBR NA
HG00143 GBR GBR NA
HG00148 GBR GBR NA
HG00149 GBR GBR NA
HG00150 GBR GBR NA
HG00151 GBR GBR NA
HG00155 GBR GBR NA
HG00171 FIN FIN NA
HG00173 FIN FIN NA
HG00174 FIN FIN NA
HG00176 FIN FIN NA
HG00178 FIN FIN NA
HG00179 FIN FIN NA
HG00180 FIN FIN NA
HG00181 FIN FIN NA
HG00182 FIN FIN NA
HG00183 FIN FIN NA
HG00185 FIN FIN NA
HG00186 FIN FIN NA
HG00187 FIN FIN NA
HG00188 FIN FIN NA
HG00232 GBR GBR NA
HG00233 GBR GBR NA
HG00237 GBR GBR NA
HG00238 GBR GBR NA
HG00240 GBR GBR NA
HG00244 GBR GBR NA
HG00245 GBR GBR NA
HG00251 GBR GBR NA
HG00252 GBR GBR NA
HG00256 GBR GBR NA
HG00257 GBR GBR NA
HG00263 GBR GBR NA
HG00264 GBR GBR NA
HG00268 FIN FIN NA
HG00269 FIN FIN NA
HG00271 FIN FIN NA
HG00275 FIN FIN NA
HG00276 FIN FIN NA
HG00282 FIN FIN NA
HG00288 FIN FIN NA
HG00290 FIN FIN NA
HG00308 FIN FIN NA
HG00310 FIN FIN NA
HG00315 FIN FIN NA
HG00318 FIN FIN NA
HG00319 FIN FIN NA
HG00321 FIN FIN NA
HG00326 FIN FIN NA
HG00327 FIN FIN NA
HG00334 FIN FIN NA
HG00338 FIN FIN NA
HG00339 FIN FIN NA
HG00341 FIN FIN NA
HG00345 FIN FIN NA
HG00346 FIN FIN NA
HG00353 FIN FIN NA
HG00357 FIN FIN NA
HG00358 FIN FIN NA
HG00360 FIN FIN NA
HG00364 FIN FIN NA
HG00365 FIN FIN NA
HG00369 FIN FIN NA
HG00371 FIN FIN NA
HG00372 FIN FIN NA
HG00376 FIN FIN NA
HG00383 FIN FIN NA
HG00384 FIN FIN NA
HG02215 GBR GBR NA
NA18488 YRI YRI NA
NA18489 YRI YRI NA
NA18504 YRI YRI NA
NA18508 YRI YRI NA
NA18510 YRI YRI NA
NA18511 YRI YRI NA
NA18516 YRI YRI NA
NA18522 YRI YRI NA
NA18523 YRI YRI NA
NA18528 CHB CHB NA
NA18530 CHB CHB NA
NA18534 CHB CHB NA
NA18535 CHB CHB NA
NA18539 CHB CHB NA
NA18541 CHB CHB NA
NA18542 CHB CHB NA
NA18546 CHB CHB NA
NA18547 CHB CHB NA
NA18553 CHB CHB NA
NA18555 CHB CHB NA
NA18558 CHB CHB NA
NA18559 CHB CHB NA
NA18560 CHB CHB NA
NA18561 CHB CHB NA
NA18562 CHB CHB NA
NA18565 CHB CHB NA
NA18566 CHB CHB NA
NA18567 CHB CHB NA
NA18572 CHB CHB NA
NA18573 CHB CHB NA
NA18574 CHB CHB NA
NA18577 CHB CHB NA
NA18579 CHB CHB NA
NA18591 CHB CHB NA
NA18592 CHB CHB NA
NA18596 CHB CHB NA
NA18597 CHB CHB NA
NA18605 CHB CHB NA
NA18609 CHB CHB NA
NA18611 CHB CHB NA
NA18612 CHB CHB NA
NA18616 CHB CHB NA
NA18617 CHB CHB NA
NA18623 CHB CHB NA
NA18624 CHB CHB NA
NA18628 CHB CHB NA
NA18629 CHB CHB NA
NA18630 CHB CHB NA
NA18631 CHB CHB NA
NA18635 CHB CHB NA
NA18636 CHB CHB NA
NA18642 CHB CHB NA
NA18643 CHB CHB NA
NA18647 CHB CHB NA
NA18648 CHB CHB NA
NA18748 CHB CHB NA
NA18749 CHB CHB NA
NA18856 YRI YRI NA
NA18864 YRI YRI NA
NA18868 YRI YRI NA
NA18870 YRI YRI NA
NA18871 YRI YRI NA
NA18876 YRI YRI NA
NA18907 YRI YRI NA
NA18908 YRI YRI NA
NA18910 YRI YRI NA
NA18915 YRI YRI NA
NA18934 YRI YRI NA
NA19095 YRI YRI NA
NA19099 YRI YRI NA
NA19153 YRI YRI NA
NA19160 YRI YRI NA
NA19172 YRI YRI NA
NA19184 YRI YRI NA
NA19189 YRI YRI NA
NA19204 YRI YRI NA
NA19209 YRI YRI NA
NA19222 YRI YRI NA
NA19223 YRI YRI NA
NA19235 YRI YRI NA
NA19239 YRI YRI NA
NA19247 YRI YRI NA
